day	hour	minutes	temperature
0.00	0.000	0	19.48835185
0.01	0.167	10	18.53775405
0.01	0.333	20	19.21687806
0.02	0.500	30	20.57819709
0.03	0.667	40	20.18519302
0.03	0.833	50	19.26342966
0.04	1.000	60	20.4792209
0.05	1.167	70	20.17294922
0.06	1.333	80	19.9305259
0.06	1.500	90	20.35037036
0.07	1.667	100	20.58095174
0.08	1.833	110	20.03788724
0.08	2.000	120	19.03875342
0.09	2.167	130	18.10708772
0.10	2.333	140	20.59280189
0.10	2.500	150	20.2483621
0.11	2.667	160	21.75755913
0.12	2.833	170	20.80686238
0.13	3.000	180	20.87251335
0.13	3.167	190	19.78402238
0.14	3.333	200	20.18159909
0.15	3.500	210	21.60808672
0.15	3.667	220	20.82805543
0.16	3.833	230	22.04596178
0.17	4.000	240	20.46828739
0.17	4.167	250	19.22818947
0.18	4.333	260	18.99045449
0.19	4.500	270	20.92291115
0.19	4.667	280	19.45998442
0.20	4.833	290	18.88264175
0.21	5.000	300	20.02411678
0.22	5.167	310	18.21859621
0.22	5.333	320	17.93589608
0.23	5.500	330	16.21734073
0.24	5.667	340	17.10104458
0.24	5.833	350	16.61071847
0.25	6.000	360	15.15430463
0.26	6.167	370	15.51344622
0.26	6.333	380	15.74895427
0.27	6.500	390	15.62990773
0.28	6.667	400	14.09997606
0.28	6.833	410	13.80600946
0.29	7.000	420	13.39269634
0.30	7.167	430	13.60567289
0.31	7.333	440	12.18152334
0.31	7.500	450	12.82627858
0.32	7.667	460	13.14338625
0.33	7.833	470	13.44391153
0.33	8.000	480	12.13983049
0.34	8.167	490	12.18825382
0.35	8.333	500	10.92000896
0.35	8.500	510	11.54892318
0.36	8.667	520	12.14816936
0.37	8.833	530	12.99290808
0.38	9.000	540	11.81247224
0.38	9.167	550	11.86610207
0.39	9.333	560	13.21020929
0.40	9.500	570	13.22857992
0.40	9.667	580	12.84479749
0.41	9.833	590	14.14037707
0.42	10.000	600	12.43307539
0.42	10.167	610	13.8316814
0.43	10.333	620	14.36608318
0.44	10.500	630	13.35323466
0.44	10.667	640	12.51120791
0.45	10.833	650	14.45802662
0.46	11.000	660	12.51212675
0.47	11.167	670	14.00138034
0.47	11.333	680	13.33734953
0.48	11.500	690	15.1263935
0.49	11.667	700	12.84663213
0.49	11.833	710	14.646065
0.50	12.000	720	14.14836071
0.51	12.167	730	13.29444698
0.51	12.333	740	13.01217502
0.52	12.500	750	13.07115395
0.53	12.667	760	14.28185198
0.53	12.833	770	13.67293126
0.54	13.000	780	12.85557438
0.55	13.167	790	14.6813231
0.56	13.333	800	14.83076484
0.56	13.500	810	15.74707212
0.57	13.667	820	14.19644265
0.58	13.833	830	12.73066657
0.58	14.000	840	13.42619476
0.59	14.167	850	14.75541323
0.60	14.333	860	15.54085259
0.60	14.500	870	16.06119121
0.61	14.667	880	16.95742218
0.62	14.833	890	16.30128681
0.63	15.000	900	15.58034606
0.63	15.167	910	16.94457412
0.64	15.333	920	16.86556253
0.65	15.500	930	16.17405504
0.65	15.667	940	17.02292053
0.66	15.833	950	17.24093511
0.67	16.000	960	16.44324807
0.67	16.167	970	18.70376598
0.68	16.333	980	16.72596768
0.69	16.500	990	19.54632801
0.69	16.667	1000	18.83895609
0.70	16.833	1010	16.65048105
0.71	17.000	1020	19.2151902
0.72	17.167	1030	17.00392562
0.72	17.333	1040	16.59624371
0.73	17.500	1050	16.17931185
0.74	17.667	1060	17.20374371
0.74	17.833	1070	16.8322595
0.75	18.000	1080	16.60894944
0.76	18.167	1090	15.94181689
0.76	18.333	1100	18.03793463
0.77	18.500	1110	15.45724243
0.78	18.667	1120	16.53286354
0.78	18.833	1130	17.07937876
0.79	19.000	1140	14.10276157
0.80	19.167	1150	15.78353125
0.81	19.333	1160	14.99416086
0.81	19.500	1170	15.96580928
0.82	19.667	1180	15.67459353
0.83	19.833	1190	15.45609174
0.83	20.000	1200	16.77752482
0.84	20.167	1210	16.91871485
0.85	20.333	1220	15.97562552
0.85	20.500	1230	17.04950771
0.86	20.667	1240	15.747941
0.87	20.833	1250	15.82717298
0.88	21.000	1260	17.54458824
0.88	21.167	1270	18.36255798
0.89	21.333	1280	16.68743883
0.90	21.500	1290	16.48196375
0.90	21.667	1300	18.57692962
0.91	21.833	1310	18.35474989
0.92	22.000	1320	18.27090879
0.92	22.167	1330	18.10200786
0.93	22.333	1340	19.14501241
0.94	22.500	1350	18.05235423
0.94	22.667	1360	20.48334875
0.95	22.833	1370	18.81450023
0.96	23.000	1380	20.17771302
0.97	23.167	1390	18.75237788
0.97	23.333	1400	18.86095073
0.98	23.500	1410	18.05086958
0.99	23.667	1420	20.50820645
0.99	23.833	1430	19.10898708
1.00	24.000	1440	20.60145256
1.01	24.167	1450	20.49235026
1.01	24.333	1460	20.15536421
1.02	24.500	1470	19.96118032
1.03	24.667	1480	19.47407172
1.03	24.833	1490	20.38107223
1.04	25.000	1500	18.99644026
1.05	25.167	1510	19.41880791
1.06	25.333	1520	19.09150795
1.06	25.500	1530	20.78312102
1.07	25.667	1540	20.29865375
